Frame, SubFrame, COPx(mm), COPy(mm)
181,4,-29.42,213.74
182,0,-31.087,212.99
182,1,-30.025,215.33
182,2,-29.951,212.31
182,3,-30.12,214.37
182,4,-31.274,212.09
183,0,-30.496,213.85
183,1,-29.415,214.26
183,2,-31.911,211.51
183,3,-30.362,214.25
183,4,-31.78,212.49
184,0,-29.485,213.28
184,1,-30.334,212.19
184,2,-31.083,211.91
184,3,-30.995,212.9
184,4,-30.222,211.32
185,0,-29.703,211.72
185,1,-30.78,212.23
185,2,-30.569,212.29
185,3,-31.756,213.57
185,4,-29.568,213.45
186,0,-29.709,211.12
186,1,-29.879,211.53
186,2,-29.556,213.27
186,3,-31.858,210.23
186,4,-30.477,213.85
187,0,-32.246,211.63
187,1,-30.67,212.29
187,2,-30.544,212.61
187,3,-30.66,214.94
187,4,-30.677,213.36
188,0,-29.464,212.69
188,1,-30.876,212.99
188,2,-29.98,212.82
188,3,-29.833,214.22
188,4,-32.721,212.22
189,0,-29.39,214.03
189,1,-31.713,213.1
189,2,-29.978,212.88
189,3,-30.424,212.76
189,4,-30.915,213.74
190,0,-30.147,213.83
190,1,-30.371,212.68
190,2,-29.372,213.45
190,3,-31.394,212.59
190,4,-30.977,214.64
191,0,-31.087,212.31
191,1,-30.383,213.76
191,2,-31.825,214.37
191,3,-31.035,213.56
191,4,-29.453,212.87
192,0,-31.114,211.5
192,1,-29.985,213.85
192,2,-31.336,213.19
192,3,-30.681,214.15
192,4,-30.842,212.8
193,0,-29.667,213.54
193,1,-29.432,213.65
193,2,-29.405,214.43
193,3,-30.856,213.55
193,4,-31.358,213.88
194,0,-30.782,214.04
194,1,-30.988,211.19
194,2,-29.569,213.05
194,3,-32.438,212.39
194,4,-30.465,214.44
195,0,-29.191,213.06
195,1,-30.561,213.93
195,2,-30.495,213.45
195,3,-29.713,214.05
195,4,-29.814,214.32
196,0,-30.606,212.4
196,1,-30.47,213.75
196,2,-31.02,212.76
196,3,-29.825,214.12
196,4,-31.592,214.53
197,0,-29.347,213.48
197,1,-29.682,215.72
197,2,-30.57,214.23
197,3,-30.587,215.69
197,4,-31.248,212.67
198,0,-30.08,212.89
198,1,-29.758,212.88
198,2,-30.914,214.05
198,3,-30.498,214.64
198,4,-29.524,213.26
199,0,-31.034,213.56
199,1,-31.182,212.6
199,2,-30.367,215.39
199,3,-29.593,213.46
199,4,-30.287,213.84
200,0,-30.999,212.87
200,1,-29.529,213.7
200,2,-29.135,215.09
200,3,-31.143,213.47
200,4,-30.859,214.05
201,0,-30.139,213.05
201,1,-31.475,214.09
201,2,-30.361,212.97
201,3,-30.128,213.16
201,4,-29.887,213.58
202,0,-30.252,213.65
202,1,-31.78,214.02
202,2,-30.571,213.75
202,3,-29.554,214.17
202,4,-30.498,213.08
203,0,-29.864,214.34
203,1,-30.635,214.64
203,2,-29.633,214.63
203,3,-29.522,213.36
203,4,-30.508,213.65
204,0,-30.972,214.13
204,1,-30.49,213.98
204,2,-29.996,213.34
204,3,-30.854,213.06
204,4,-30.195,214.89
205,0,-30.096,213.19
205,1,-29.381,212.86
205,2,-30.632,214.05
205,3,-29.688,213.76
205,4,-30.253,213.07
206,0,-30.592,213.08
206,1,-30.55,213.16
206,2,-30.042,213.78
206,3,-30.033,213.25
206,4,-29.334,213.36
207,0,-30.023,212.87
207,1,-29.874,212.2
207,2,-28.861,212.75
207,3,-29.764,214.24
207,4,-29.868,213.15
208,0,-30.309,213.64
208,1,-30.224,212.97
208,2,-31.042,213.37
208,3,-29.91,212.78
208,4,-30.534,213.76
209,0,-30.677,212.09
209,1,-30.472,214.54
209,2,-31.477,214.07
209,3,-29.659,213.17
209,4,-31.297,212.76
210,0,-29.764,212.36
210,1,-30.303,216.09
210,2,-29.516,214.16
210,3,-30.716,214.36
210,4,-30.88,212.1
211,0,-30.9,213.36
211,1,-30.356,213.04
211,2,-30.051,212.78
211,3,-29.597,213.74
211,4,-30.057,212.66
212,0,-30.872,213.63
212,1,-30.118,212.56
212,2,-29.873,212.96
212,3,-29.834,213.29
212,4,-29.46,213.35
213,0,-30.039,213.85
213,1,-30.233,212.18
213,2,-30.414,212.49
213,3,-28.94,212.28
213,4,-29.764,213.83
214,0,-29.364,213.86
214,1,-29.694,214.16
214,2,-30.71,213.66
214,3,-29.851,212.38
214,4,-29.926,213.59
215,0,-29.332,212.19
